Horodateur,What do you crave most when you take time off? ,What kind of sound makes you feel at ease?,How do you tend to move through a day when traveling?,What makes a trip feel memorable?,What helps you enjoy your day most while traveling?,How do you like to feel at the end of a trip?,What kind of view draws you in the most?,How do you spend your time in between meals or activities?,What stays with you after a great trip?,What makes you feel most comfortable when you’re away?,Are you planning a summer or winter holiday?,Which of the following categories best describes your travel style?
2025/05/03 8:16:17 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,City
2025/05/03 8:15:53 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 8:07:14 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Relax
2025/05/03 8:07:14 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Relax
2025/05/03 8:04:59 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Nature
2025/05/03 7:59:40 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 7:59:26 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 7:58:49 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 7:58:16 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being outside in nature,Winter,Nature
2025/05/03 7:57:32 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 7:49:37 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A wide open lake or still space,"Reading, journaling, resting",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 4:33:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being outside in nature,Summer,Nature
2025/05/03 11:38:58 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Having quiet time to yourself,Summer,Relax
2025/05/03 11:38:58 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Having quiet time to yourself,Summer,Relax
2025/05/03 11:35:04 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being outside in nature,Summer,Nature
2025/05/03 11:33:00 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 11:28:55 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Reading, journaling, resting",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 11:28:55 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Reading, journaling, resting",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 11:18:34 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Calm and refreshed,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 11:18:34 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Calm and refreshed,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 11:17:13 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,City
2025/05/03 11:15:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Calm and refreshed,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 11:13:31 PM UTC+3,Being outside and moving freely,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 11:12:35 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 11:11:25 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 11:07:48 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 11:02:44 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,City
2025/05/03 11:01:34 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 10:56:39 PM UTC+3,Being outside and moving freely,"Soft music, background calm","I take it slow, maybe read a book or enjoy some quiet time",Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 10:56:39 PM UTC+3,Being outside and moving freely,"Soft music, background calm","I take it slow, maybe read a book or enjoy some quiet time",Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 10:56:05 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Calm and refreshed,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 10:56:05 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Calm and refreshed,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 10:55:39 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/03 10:55:39 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/03 10:55:12 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:54:55 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 10:51:46 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Reading, journaling, resting",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 10:51:26 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 10:51:26 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/03 10:51:23 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 10:48:53 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 10:48:53 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/03 10:48:17 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Calm and refreshed,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being outside in nature,Summer,City
2025/05/03 10:47:36 PM UTC+3,Being outside and moving freely,"People chatting, footsteps, a bit of life around","I take it slow, maybe read a book or enjoy some quiet time",Feeling connected to the landscape,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:45:03 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 10:43:15 PM UTC+3,Exploring new places and local culture,"Silence, water, wind","I take it slow, maybe read a book or enjoy some quiet time",Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",A sense of connection to the places I’ve been,Being outside in nature,Summer,Nature
2025/05/03 10:32:48 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,Relax
2025/05/03 10:32:48 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,Relax
2025/05/03 10:32:27 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:29:29 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Being around people and activity,Summer,Nature
2025/05/03 10:28:17 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 10:27:42 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:27:19 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Winter,City
2025/05/03 10:22:18 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Time to pause and reset completely,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 10:20:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Calm and refreshed,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 10:19:46 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/03 10:19:44 PM UTC+3,Being outside and moving freely,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 10:19:32 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,City
2025/05/03 10:18:21 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:14:14 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 10:13:37 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 10:12:54 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 10:11:39 PM UTC+3,Being outside and moving freely,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 10:09:28 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 10:02:36 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Nature
2025/05/03 10:01:33 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,City
